ID,medv
3,34.003
6,24.418000000000006
8,16.548000000000005
9,16.161
10,17.907000000000004
18,18.681999999999995
20,19.984000000000012
25,15.681
26,15.713999999999992
27,18.268999999999995
29,19.772999999999993
30,22.143999999999977
33,15.588000000000001
34,14.842000000000006
36,21.61699999999999
37,21.53200000000001
38,21.791999999999994
42,30.012999999999987
49,18.754000000000005
53,25.101
60,21.137000000000008
63,23.64900000000001
70,20.718000000000014
72,21.303
79,21.174
80,21.444000000000003
83,23.75100000000001
92,22.855999999999966
93,22.781999999999993
96,27.57099999999999
98,45.20200000000003
99,46.027000000000015
100,33.63599999999999
105,19.656999999999996
106,18.101999999999997
111,20.759000000000015
113,17.662999999999997
114,16.730000000000004
116,19.489000000000015
126,19.84
130,15.570000000000011
131,19.677999999999983
133,20.08099999999999
136,16.484999999999992
141,16.190999999999992
144,13.900999999999996
145,14.182999999999986
147,15.094999999999995
152,20.170999999999996
153,21.404
156,19.903000000000016
158,32.852
163,48.69300000000001
169,22.352999999999994
185,21.589000000000002
186,24.040999999999993
189,29.97999999999999
196,47.632000000000005
197,33.66399999999999
199,32.72199999999997
200,32.44000000000001
203,44.69499999999999
208,20.135999999999996
210,18.543999999999997
211,19.889999999999997
213,21.4
216,23.767000000000007
218,24.205
219,18.40999999999999
220,21.851999999999993
221,28.15599999999999
229,42.955000000000034
232,34.03199999999998
238,34.212999999999994
239,24.513
240,27.29499999999999
242,21.53800000000001
246,19.92100000000001
248,21.881000000000007
253,32.90599999999999
255,23.022
256,20.906999999999996
257,41.63000000000001
258,45.27800000000004
259,31.855999999999998
260,29.898000000000003
268,43.28300000000001
270,21.625999999999998
271,20.740000000000006
276,33.64899999999998
277,33.476999999999975
278,31.845999999999982
279,24.445999999999984
281,47.50599999999999
288,23.296
290,24.647999999999996
292,34.553
295,22.043000000000006
296,26.81999999999998
299,25.328999999999994
300,33.78199999999998
301,30.404999999999987
308,29.889000000000006
314,22.185999999999993
315,24.004999999999995
320,21.147
322,23.879999999999985
323,22.27799999999999
324,20.087000000000003
327,23.82999999999998
330,23.29599999999997
332,19.41000000000001
333,21.112000000000002
336,20.441
338,20.208
346,20.74
347,20.046
351,23.084999999999994
352,25.619999999999987
354,30.37399999999997
355,19.62599999999999
356,22.60899999999999
362,21.02500000000001
364,19.91200000000002
365,41.666000000000004
370,40.421
376,26.36099999999999
379,10.260999999999992
380,11.02999999999999
381,16.079999999999995
382,10.843999999999992
386,8.178999999999998
389,9.439999999999998
391,14.076999999999998
394,18.27000000000001
396,13.479
398,13.716999999999999
400,12.424999999999995
403,13.763999999999987
405,7.747999999999998
406,8.731999999999994
407,10.815999999999992
410,15.647999999999994
411,23.590000000000032
412,12.926999999999998
413,10.940999999999995
417,10.911999999999995
421,18.047000000000015
422,19.069000000000017
423,21.657000000000007
424,13.843000000000002
427,17.093000000000004
431,14.700999999999999
436,12.484999999999996
437,12.764999999999997
439,9.555999999999996
447,15.517999999999997
450,15.581999999999987
451,14.973999999999997
455,14.293
457,15.767000000000005
471,17.229999999999997
474,26.672999999999988
476,15.33899999999999
483,28.954999999999995
486,21.487999999999985
490,13.424999999999995
495,19.827999999999985
496,17.125999999999994
497,15.838999999999993
499,19.83699999999999
501,19.326999999999988
505,25.211000000000016
